418524|13498
546221|14094
465703|14080
438047|13951
481685|14129
481982|14126
427088|14075
411389|14074
551363|14099
427099|14077
422995|13972
483316|13971
481906|13955
443603|13953
417601|13945
403623|13918
514490|14535
494139|15185
464579|15253
485427|15229
558693|15359
441353|15360
415894|15362
463694|15426
452288|15472
464772|15558
476516|15569
486946|15582
406085|15595
413916|15603
443353|15611
446759|15412
409441|15793
528847|15812
418527|16026
460730|16029
446614|16035
479317|16039
446602|16050
489662|16715
435536|16717
481588|16719
456331|16732
558151|16737
418522|16745
528848|16747
462159|16760
448213|16794
544472|16801
499119|16819
534990|16821
425839|16823
548009|16825
473054|16827
523704|16829
512474|16831
524366|16833
464018|16835
444796|16837
542539|16840
425704|16842
532561|16844
442338|16846
534348|16848
475833|16853
534901|16855
532211|16857
542418|16859
546316|16861
425836|16865
549806|16867
466349|16869
401099|16874
414548|16876
431503|16880
534371|16883
461604|16886
558159|16892
447227|16896
448233|16898
402347|16906
402594|16914
466186|16917
447437|16919
513638|16923
551910|16943
476753|16945
415860|16949
528228|16953
470523|16966
415967|16968
498503|16969
517800|16980
558189|16985
425828|16996
481176|17011
467001|17016
516693|17020
